,,Totals,Person Income in 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"$1 to $2,499
or loss",No Income,"$2,500 to $4,999","$5,000 to $7,499","$7,500 to $9,999","$10,000 to $12,499","$12,500 to $14,999","$15,000 to $17,499","$17,500 to $19,999","$20,000 to $22,499","$22,500 to $24,999","$25,000 to $27,499","$27,500 to $29,999","$30,000 to $32,499","$32,500 to $34,999","$35,000 to $37,499","$37,500 to $39,999","$40,000 to $42,499","$42,500 to $44,999","$45,000 to $47,499","$47,500 to $49,999","$50,000 to $52,499","$52,500 to $54,999","$55,000 to $57,499","$57,500 to $59,999","$60,000 to $62,499","$62,500 to $64,999","$65,000 to $67,499","$67,500 to $69,999","$70,000 to $72,499","$72,500 to $74,999","$75,000 to $77,499","$77,500 to $79,999","$80,000 to $82,499","$82,500 to $84,999","$85,000 to $87,499","$87,500 to $89,999","$90,000 to $92,499","$92,500 to $94,999","$95,000 to $97,499","$97,500 to $99,999","$100,000 and
over"
Totals,Totals,"320,372","14,260","91,843","5,984","7,567","10,151","12,480","8,386","10,889","7,567","10,682","6,862","9,185","5,574","10,633","4,040","8,246","4,152","8,157","3,260","6,090","3,328","7,139","2,541","4,217","2,072","5,022","1,811","3,352","1,694","3,471","1,443","2,987","1,258","2,893","1,105","1,698",895,"2,035",885,"1,304",788,"22,424"
,Origin,"262,702","12,122","67,821","4,980","6,076","8,436","10,180","7,091","8,838","6,204","8,518","5,698","7,418","4,682","8,529","3,427","6,856","3,542","6,751","2,878","5,292","2,956","6,147","2,271","3,674","1,879","4,418","1,665","3,005","1,551","3,099","1,311","2,713","1,170","2,582","1,020","1,515",824,"1,858",817,"1,234",743,"20,907"
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,"57,670","2,139","24,023","1,004","1,491","1,715","2,299","1,295","2,051","1,364","2,163","1,164","1,767",891,"2,104",613,"1,390",610,"1,405",382,798,372,992,270,543,193,604,146,347,143,372,132,274,88,311,84,183,71,177,68,70,45,"1,517"
Race,,"246,310","11,131","65,668","4,436","5,603","7,479","9,435","6,470","8,575","5,855","8,357","5,382","7,162","4,467","8,149","3,264","6,504","3,290","6,443","2,733","4,902","2,766","5,632","2,106","3,452","1,681","4,063","1,470","2,767","1,414","2,796","1,175","2,373","1,041","2,402",952,"1,395",755,"1,641",704,"1,099",655,"18,667"
White alone,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Origin,"195,453","9,261","44,621","3,551","4,286","5,984","7,403","5,303","6,724","4,677","6,395","4,352","5,583","3,670","6,298","2,727","5,267","2,767","5,202","2,404","4,202","2,421","4,760","1,861","3,014","1,503","3,502","1,338","2,450","1,296","2,462","1,059","2,130",959,"2,138",874,"1,232",685,"1,486",647,"1,031",614,"17,318"
,Non Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hispanic,"50,857","1,870","21,047",885,"1,317","1,495","2,032","1,167","1,851","1,178","1,962","1,030","1,579",797,"1,851",537,"1,236",524,"1,241",329,700,345,872,245,438,178,561,132,317,118,334,116,243,81,264,79,163,70,155,57,67,41,"1,348"
Black or African American alone,Totals,"42,040","1,513","14,403",917,"1,228","1,723","1,929","1,253","1,483","1,099","1,491",898,"1,267",713,"1,566",465,"1,096",517,"1,026",329,689,358,862,253,416,239,569,176,306,160,339,159,276,121,222,75,121,78,173,95,86,70,"1,283"
,Origin,"39,257","1,396","13,280",872,"1,140","1,628","1,805","1,205","1,405","1,008","1,382",833,"1,169",677,"1,455",428,"1,027",480,958,303,649,351,821,242,375,227,548,172,302,153,329,154,269,120,201,73,121,77,164,87,86,66,"1,218"
